1,a,241,1,0.0,-1
1,a,248,0,1.0,-1
2,aaa,233,1,0.0,-1
2,aaa,235,1,0.0,-1
2,aaa,236,1,1.0,-1
2,aaa,237,1,0.0,-1
2,aaa,238,1,0.0,-1
2,aaa,239,1,0.0,-1
2,aaa,245,1,0.0,-1
2,aaa,248,1,1.0,-1
3,aaaa,235,0,0.0,-1
3,aaaa,237,0,0.0,-1
3,aaaa,238,0,0.0,-1
3,aaaa,239,0,0.0,-1
4,adsadsad,236,0,1.0,-1
5,amama,248,0,1.0,-1
6,as,241,1,0.0,-1
6,as,242,0,0.0,-1
6,as,242,1,0.0,-1
6,as,243,0,0.0,-1
6,as,243,1,0.0,-1
6,as,244,0,0.0,-1
6,as,244,1,0.0,-1
7,asd,241,0,0.0,-1
7,asd,241,0,0.0,-1
7,asd,241,1,0.0,-1
7,asd,242,0,0.0,-1
7,asd,242,0,0.0,-1
7,asd,242,0,0.0,-1
7,asd,242,1,0.0,-1
7,asd,242,1,0.0,-1
7,asd,242,1,0.0,-1
7,asd,243,0,0.0,-1
7,asd,243,0,0.0,-1
7,asd,243,0,0.0,-1
7,asd,243,1,0.0,-1
7,asd,243,1,0.0,-1
7,asd,243,1,0.0,-1
7,asd,244,0,0.0,-1
7,asd,244,0,0.0,-1
7,asd,244,0,0.0,-1
7,asd,244,1,0.0,-1
7,asd,244,1,0.0,-1
7,asd,244,1,0.0,-1
8,asdasd,226,1,1.0,-1
8,asdasd,232,0,0.0,-1
8,asdasd,233,0,0.0,-1
8,asdasd,241,0,0.0,-1
8,asdasd,241,0,0.0,-1
9,asl,246,1,0.0,-1
10,asmams,245,0,0.0,-1
11,caca,235,1,0.0,-1
11,caca,236,1,1.0,-1
11,caca,237,1,0.0,-1
11,caca,238,1,0.0,-1
11,caca,239,1,0.0,-1
12,casa,245,1,0.0,-1
12,casa,246,0,0.0,-1
12,casa,248,1,1.0,-1
13,d,241,1,0.0,-1
14,da,242,1,0.0,-1
14,da,243,1,0.0,-1
14,da,244,1,0.0,-1
15,das,241,1,0.0,-1
15,das,241,1,0.0,-1
15,das,241,1,0.0,-1
15,das,241,1,0.0,-1
15,das,242,0,0.0,-1
15,das,242,0,0.0,-1
15,das,242,1,0.0,-1
15,das,243,0,0.0,-1
15,das,243,0,0.0,-1
15,das,243,1,0.0,-1
15,das,244,0,0.0,-1
15,das,244,0,0.0,-1
15,das,244,1,0.0,-1
16,eee,232,1,0.0,-1
16,eee,233,1,0.0,-1
16,eee,235,1,0.0,-1
16,eee,236,1,1.0,-1
16,eee,237,1,0.0,-1
16,eee,238,1,0.0,-1
16,eee,239,1,0.0,-1
16,eee,245,1,0.0,-1
16,eee,248,1,3.0,-1
17,estas,248,1,1.0,-1
18,hola,226,0,1.0,-1
18,hola,248,1,1.0,-1
19,jolalala,246,1,0.0,-1
20,lasdlasdlasd,246,1,0.0,-1
21,mam,248,0,1.0,-1
22,mama,233,1,0.0,-1
23,mamama,248,0,1.0,-1
24,meme,233,1,0.0,-1
24,meme,235,1,0.0,-1
24,meme,236,1,1.0,-1
24,meme,237,1,0.0,-1
24,meme,238,1,0.0,-1
24,meme,239,1,0.0,-1
24,meme,245,1,0.0,-1
24,meme,248,0,1.0,-1
24,meme,248,1,1.0,-1
25,perro,235,1,0.0,-1
25,perro,236,1,1.0,-1
25,perro,237,1,0.0,-1
25,perro,238,1,0.0,-1
25,perro,239,1,0.0,-1
25,perro,246,0,0.0,-1
26,queque,235,1,0.0,-1
26,queque,236,1,1.0,-1
26,queque,237,1,0.0,-1
26,queque,238,1,0.0,-1
26,queque,239,1,0.0,-1
27,s,242,1,0.0,-1
27,s,243,1,0.0,-1
27,s,244,1,0.0,-1
28,siete,233,1,0.0,-1
