mama,305,0,0.0,-1,familia
mi,305,0,0.0,0,-
me,305,1,0.0,0,-
mima,305,1,0.0,0,-
aa,306,0,0.0,0,-
aa,306,1,0.0,0,-
aa,306,2,0.0,0,-
aa,307,0,0.0,0,-
ee,307,1,0.0,0,-
aa,307,2,0.0,0,-
aa,308,0,0.0,0,-
ee,308,1,0.0,0,-
aa,308,2,0.0,0,-
ee,308,3,0.0,0,-
ww,308,4,0.0,0,-
ee,308,5,0.0,0,-
ii,308,6,0.0,0,-
oo,308,7,0.0,0,-
adasd,308,8,0.0,0,-
asd,308,8,0.0,0,-
asd,308,8,0.0,0,-
este,308,9,0.0,0,-
aa,309,0,0.0,0,-
ee,309,1,0.0,0,-
aa,309,2,0.0,0,-
ee,309,3,0.0,0,-
ww,309,4,0.0,0,-
ee,309,5,0.0,0,-
ii,309,6,0.0,0,-
oo,309,7,0.0,0,-
adasd,309,8,0.0,0,-
asd,309,8,0.0,0,-
asd,309,8,0.0,0,-
este,309,9,0.0,0,-
aaa,310,0,0.0,0,-
,310,1,0.0,0,-
,310,2,0.0,0,-
,310,3,0.0,0,-
,310,4,0.0,0,-
,310,5,0.0,0,-
,310,6,0.0,0,-
,310,7,0.0,0,-
,310,8,0.0,0,-
,310,9,0.0,0,-
aaa,311,0,0.0,0,-
,311,1,0.0,0,-
,311,2,0.0,0,-
,311,3,0.0,0,-
,311,4,0.0,0,-
,311,5,0.0,0,-
,311,6,0.0,0,-
,311,7,0.0,0,-
,311,8,0.0,0,-
,311,9,0.0,0,-
